证券名称,证券代码,所属申万行业名称(港股)(2021)
瑞风新能源,0527.HK,----
金达控股,0528.HK,----
SIS INT'L,0529.HK,----
WKK INTL (HOLD),0532.HK,----
金利来集团,0533.HK,----
金地商置,0535.HK,房地产--房地产开发--产业地产
贸易通,0536.HK,----
味千(中国),0538.HK,----
迅捷环球控股,0540.HK,----
中国文旅农业,0542.HK,----
太平洋网络,0543.HK,----
大同集团,0544.HK,----
阜丰集团,0546.HK,食品饮料--调味发酵品Ⅱ--调味发酵品Ⅲ
数字王国,0547.HK,传媒--影视院线--影视动漫制作
深圳高速公路股份,0548.HK,交通运输--铁路公路--高速公路
律齐文化,0550.HK,----
裕元集团,0551.HK,纺织服饰--纺织制造--纺织鞋类制造
中国通信服务,0552.HK,通信--通信服务--通信工程及服务
南京熊猫电子股份,0553.HK,通信--通信设备--通信终端及配件
汉思集团控股,0554.HK,----
泛亚环保,0556.HK,----
天元医疗,0557.HK,----
力劲科技,0558.HK,机械设备--通用设备--机床工具
德泰新能源集团,0559.HK,----
珠江船务,0560.HK,----
上实城市开发,0563.HK,房地产--房地产开发--住宅开发
中创智领,0564.HK,机械设备--专用设备--能源及重型设备
锦艺集团控股,0565.HK,----
大昌微线集团,0567.HK,----
山东墨龙,0568.HK,机械设备--专用设备--能源及重型设备
中国中药,0570.HK,医药生物--中药Ⅱ--中药Ⅲ
丰德丽控股,0571.HK,----
未来世界控股,0572.HK,----
稻香控股,0573.HK,----
百信国际,0574.HK,----
励晶太平洋,0575.HK,----
浙江沪杭甬,0576.HK,交通运输--铁路公路--高速公路
京能清洁能源,0579.HK,公用事业--电力--电能综合服务
赛晶科技,0580.HK,----
中国东方集团,0581.HK,钢铁--普钢--长材
神话世界,0582.HK,社会服务--旅游及景区--博彩
长城环亚控股,0583.HK,----
意力国际,0585.HK,----
海螺创业,0586.HK,环保--环境治理--固废治理
海螺环保,0587.HK,环保--环境治理--固废治理
北京北辰实业股份,0588.HK,房地产--房地产开发--住宅开发
六福集团,0590.HK,纺织服饰--饰品--钟表珠宝
中国高精密,0591.HK,----
梦东方,0593.HK,----
AV CONCEPT HOLD,0595.HK,----
浪潮数字企业,0596.HK,----
中国外运,0598.HK,交通运输--物流--跨境物流
怡邦行控股,0599.HK,----
稀镁科技,0601.HK,----
佳华百货控股,0602.HK,----
中油燃气,0603.HK,----
深圳控股,0604.HK,房地产--房地产开发--住宅开发
中国金融投资管理,0605.HK,----
中骏商管,0606.HK,----
丰盛控股,0607.HK,公用事业--电力--其他能源发电
